CVEGEO,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
20001,20,Oaxaca,Oax.,001,Abejones,0001,Abejones,841,360,481,217
20002,20,Oaxaca,Oax.,002,Acatlán de Pérez Figueroa,0001,Acatlán de Pérez Figueroa,45167,21980,23187,13012
20003,20,Oaxaca,Oax.,003,Asunción Cacalotepec,0001,Asunción Cacalotepec,2547,1229,1318,795
20004,20,Oaxaca,Oax.,004,Asunción Cuyotepeji,0001,Asunción Cuyotepeji,1107,523,584,341
20005,20,Oaxaca,Oax.,005,Asunción Ixtaltepec,0001,Asunción Ixtaltepec,15261,7550,7711,4955
20006,20,Oaxaca,Oax.,006,Asunción Nochixtlán,0001,Asunción Nochixtlán,20464,9577,10887,5344
20007,20,Oaxaca,Oax.,007,Asunción Ocotlán,0001,Asunción Ocotlán,2395,1091,1304,769
20008,20,Oaxaca,Oax.,008,Asunción Tlacolulita,0001,Asunción Tlacolulita,734,355,379,268
20009,20,Oaxaca,Oax.,009,Ayotzintepec,0001,Ayotzintepec,6857,3283,3574,1948
20010,20,Oaxaca,Oax.,010,El Barrio de la Soledad,0001,El Barrio de la Soledad,13474,6502,6972,4336
20011,20,Oaxaca,Oax.,011,Calihualá,0001,Calihualá,1402,690,712,340
20012,20,Oaxaca,Oax.,012,Candelaria Loxicha,0001,Candelaria Loxicha,11166,5450,5716,2465
20013,20,Oaxaca,Oax.,013,Ciénega de Zimatlán,0001,Ciénega de Zimatlán,3043,1464,1579,896
20014,20,Oaxaca,Oax.,014,Ciudad Ixtepec,0001,Ciudad Ixtepec,28082,13299,14783,8608
20015,20,Oaxaca,Oax.,015,Coatecas Altas,0001,Coatecas Altas,5356,2527,2829,1212
20016,20,Oaxaca,Oax.,016,Coicoyán de las Flores,0001,Coicoyán de las Flores,9563,4460,5103,1677
20017,20,Oaxaca,Oax.,017,La Compañía,0001,La Compañía,3607,1701,1906,1061
20018,20,Oaxaca,Oax.,018,Concepción Buenavista,0001,Concepción Buenavista,752,375,377,237
20019,20,Oaxaca,Oax.,019,Concepción Pápalo,0001,Concepción Pápalo,2754,1376,1378,855
20020,20,Oaxaca,Oax.,020,Constancia del Rosario,0001,Constancia del Rosario,4847,2175,2672,1057
20021,20,Oaxaca,Oax.,021,Cosolapa,0001,Cosolapa,14488,6846,7642,4128
20022,20,Oaxaca,Oax.,022,Cosoltepec,0001,Cosoltepec,803,385,418,297
20023,20,Oaxaca,Oax.,023,Cuilápam de Guerrero,0001,Cuilápam de Guerrero,26882,12863,14019,6984
20024,20,Oaxaca,Oax.,024,Cuyamecalco Villa de Zaragoza,0001,Cuyamecalco Villa de Zaragoza,3644,1847,1797,1024
20025,20,Oaxaca,Oax.,025,Chahuites,0001,Chahuites,11356,5569,5787,3278
20026,20,Oaxaca,Oax.,026,Chalcatongo de Hidalgo,0001,Chalcatongo de Hidalgo,9035,4237,4798,2570
20027,20,Oaxaca,Oax.,027,Chiquihuitlán de Benito Juárez,0001,Chiquihuitlán de Benito Juárez,2179,994,1185,744
20028,20,Oaxaca,Oax.,028,Heroica Ciudad de Ejutla de Crespo,0001,Heroica Ciudad de Ejutla de Crespo,23148,11079,12069,6077
20029,20,Oaxaca,Oax.,029,Eloxochitlán de Flores Magón,0001,Eloxochitlán de Flores Magón,4215,1995,2220,1166
20030,20,Oaxaca,Oax.,030,El Espinal,0001,El Espinal,8730,4239,4491,2584
20031,20,Oaxaca,Oax.,031,Tamazulápam del Espíritu Santo,0001,Tamazulápam del Espíritu Santo,7185,3204,3981,2038
20032,20,Oaxaca,Oax.,032,Fresnillo de Trujano,0001,Fresnillo de Trujano,1077,538,539,319
20033,20,Oaxaca,Oax.,033,Guadalupe Etla,0001,Guadalupe Etla,2929,1397,1532,772
20034,20,Oaxaca,Oax.,034,Guadalupe de Ramírez,0001,Guadalupe de Ramírez,1288,614,674,387
20035,20,Oaxaca,Oax.,035,Guelatao de Juárez,0001,Guelatao de Juárez,657,325,332,166
20036,20,Oaxaca,Oax.,036,Guevea de Humboldt,0001,Guevea de Humboldt,5256,2485,2771,1522
20037,20,Oaxaca,Oax.,037,Mesones Hidalgo,0001,Mesones Hidalgo,4424,2051,2373,1133
20038,20,Oaxaca,Oax.,038,Villa Hidalgo Yalálag,0001,Villa Hidalgo Yalálag,1885,900,985,529
20039,20,Oaxaca,Oax.,039,Heroica Ciudad de Huajuapan de León,0001,Heroica Ciudad de Huajuapan de León,78313,37162,41151,20369
20040,20,Oaxaca,Oax.,040,Huautepec,0001,Huautepec,6385,2977,3408,1650
20041,20,Oaxaca,Oax.,041,Huautla de Jiménez,0001,Huautla de Jiménez,31710,14628,17082,8799
20042,20,Oaxaca,Oax.,042,Ixtlán de Juárez,0001,Ixtlán de Juárez,8385,4036,4349,2318
20043,20,Oaxaca,Oax.,043,Heroica Ciudad de Juchitán de Zaragoza,0001,Heroica Ciudad de Juchitán de Zaragoza,113570,54616,58954,28774
20044,20,Oaxaca,Oax.,044,Loma Bonita,0001,Loma Bonita,40934,19493,21441,12804
20045,20,Oaxaca,Oax.,045,Magdalena Apazco,0001,Magdalena Apazco,7888,3740,4148,2185
20046,20,Oaxaca,Oax.,046,Magdalena Jaltepec,0001,Magdalena Jaltepec,2943,1339,1604,934
20047,20,Oaxaca,Oax.,047,Santa Magdalena Jicotlán,0001,Santa Magdalena Jicotlán,81,41,40,30
20048,20,Oaxaca,Oax.,048,Magdalena Mixtepec,0001,Magdalena Mixtepec,1433,692,741,283
20049,20,Oaxaca,Oax.,049,Magdalena Ocotlán,0001,Magdalena Ocotlán,1184,585,599,315
20050,20,Oaxaca,Oax.,050,Magdalena Peñasco,0001,Magdalena Peñasco,3750,1770,1980,983
20051,20,Oaxaca,Oax.,051,Magdalena Teitipac,0001,Magdalena Teitipac,4764,2221,2543,1012
20052,20,Oaxaca,Oax.,052,Magdalena Tequisistlán,0001,Magdalena Tequisistlán,5996,2939,3057,1888
