cp,nombre,municipio,cve_mun,slug
68000,Oaxaca Centro,Oaxaca de Juárez,067,oaxaca-centro-067-68000
68010,Bugambilias,Oaxaca de Juárez,067,bugambilias-067-68010
68010,Los Cedros,Oaxaca de Juárez,067,los-cedros-067-68010
68010,Elsa,Oaxaca de Juárez,067,elsa-067-68010
68010,Revolución,Oaxaca de Juárez,067,revolucion-067-68010
68010,Sauces,Oaxaca de Juárez,067,sauces-067-68010
68010,Orquideas,Oaxaca de Juárez,067,orquideas-067-68010
68010,Educacion,Oaxaca de Juárez,067,educacion-067-68010
68010,Tulipanes,Oaxaca de Juárez,067,tulipanes-067-68010
68013,Bugambilias,Oaxaca de Juárez,067,bugambilias-067-68013
68013,Heladio Ramírez López,Oaxaca de Juárez,067,heladio-ramirez-lopez-067-68013
68013,Lomas de Santa Rosa,Oaxaca de Juárez,067,lomas-de-santa-rosa-067-68013
68013,Adolfo López Mateos Zona Noreste,Oaxaca de Juárez,067,adolfo-lopez-mateos-zona-noreste-067-68013
68013,Lomas de San Jacinto,Oaxaca de Juárez,067,lomas-de-san-jacinto-067-68013
68013,Ex Hacienda Santa Rosa 1a Sección,Oaxaca de Juárez,067,ex-hacienda-santa-rosa-1a-seccion-067-68013
68013,Neza Cubi,Oaxaca de Juárez,067,neza-cubi-067-68013
68013,Exhacienda Santa Rosa 2a Sección,Oaxaca de Juárez,067,exhacienda-santa-rosa-2a-seccion-067-68013
68016,Del Maestro,Oaxaca de Juárez,067,del-maestro-067-68016
68016,El Paraíso,Oaxaca de Juárez,067,el-paraiso-067-68016
68016,Vista Hermosa,Oaxaca de Juárez,067,vista-hermosa-067-68016
68016,Hoteleros,Oaxaca de Juárez,067,hoteleros-067-68016
68016,Los Pinos,Oaxaca de Juárez,067,los-pinos-067-68016
68016,Lomas Panoramicas,Oaxaca de Juárez,067,lomas-panoramicas-067-68016
68016,La Soledad,Oaxaca de Juárez,067,la-soledad-067-68016
68016,Loma Bonita,Oaxaca de Juárez,067,loma-bonita-067-68016
68016,Buena Vista,Oaxaca de Juárez,067,buena-vista-067-68016
68016,Solidaridad,Oaxaca de Juárez,067,solidaridad-067-68016
68016,10 de Abril,Oaxaca de Juárez,067,10-de-abril-067-68016
68018,Los Encinos,Oaxaca de Juárez,067,los-encinos-067-68018
68020,Volcanes,Oaxaca de Juárez,067,volcanes-067-68020
68020,Ampliación Volcanes,Oaxaca de Juárez,067,ampliacion-volcanes-067-68020
68023,Donaji,Oaxaca de Juárez,067,donaji-067-68023
68023,San Luis Beltran,Oaxaca de Juárez,067,san-luis-beltran-067-68023
68023,7 Regiones,Oaxaca de Juárez,067,7-regiones-067-68023
68023,Ampliación Jardín,Oaxaca de Juárez,067,ampliacion-jardin-067-68023
68023,7 Regiones Ampliación,Oaxaca de Juárez,067,7-regiones-ampliacion-067-68023
68023,Ampliación Siete Regiones Parte Norte,Oaxaca de Juárez,067,ampliacion-siete-regiones-parte-norte-067-68023
68023,Jardín,Oaxaca de Juárez,067,jardin-067-68023
68023,Manuel Ávila Camacho,Oaxaca de Juárez,067,manuel-avila-camacho-067-68023
68023,Casa del Sol,Oaxaca de Juárez,067,casa-del-sol-067-68023
68024,Loma Linda,Oaxaca de Juárez,067,loma-linda-067-68024
68024,ISSSTE,Oaxaca de Juárez,067,issste-067-68024
68024,Lomas del Creston,Oaxaca de Juárez,067,lomas-del-creston-067-68024
68024,Residencial Ex-Hacienda de Guadalupe,Oaxaca de Juárez,067,residencial-ex-hacienda-de-guadalupe-067-68024
68024,Guadalupe Victoria,Oaxaca de Juárez,067,guadalupe-victoria-067-68024
68024,San Carlos,Oaxaca de Juárez,067,san-carlos-067-68024
68025,Ricardo Flores Magón,Oaxaca de Juárez,067,ricardo-flores-magon-067-68025
68026,Parque H2A (Reserva Ecológica),Oaxaca de Juárez,067,parque-h2a-reserva-ecologica-067-68026
68026,San Felipe del Agua,Oaxaca de Juárez,067,san-felipe-del-agua-067-68026
68026,La Chigulera,Oaxaca de Juárez,067,la-chigulera-067-68026
68026,Residencial Puente de Piedra,Oaxaca de Juárez,067,residencial-puente-de-piedra-067-68026
68026,Villa Frontu,Oaxaca de Juárez,067,villa-frontu-067-68026
68026,Consuelo Ruíz,Oaxaca de Juárez,067,consuelo-ruiz-067-68026
68026,Lomas de San Felipe,Oaxaca de Juárez,067,lomas-de-san-felipe-067-68026
68026,Residencial Álamos,Oaxaca de Juárez,067,residencial-alamos-067-68026
68026,Rinconada,Oaxaca de Juárez,067,rinconada-067-68026
68026,Bosque San Felipe,Oaxaca de Juárez,067,bosque-san-felipe-067-68026
68026,Loma Oaxaca,Oaxaca de Juárez,067,loma-oaxaca-067-68026
68027,INFONAVIT 1ro. de Mayo,Oaxaca de Juárez,067,infonavit-1ro-de-mayo-067-68027
68027,Villa de Antequera,Oaxaca de Juárez,067,villa-de-antequera-067-68027
68027,FOVISSSTE,Oaxaca de Juárez,067,fovissste-067-68027
68028,Dolores,Oaxaca de Juárez,067,dolores-067-68028
68028,Los Ríos,Oaxaca de Juárez,067,los-rios-067-68028
68028,Villas de San Luis,Oaxaca de Juárez,067,villas-de-san-luis-067-68028
68028,Ampliación Dolores,Oaxaca de Juárez,067,ampliacion-dolores-067-68028
68030,Adolfo López Mateos,Oaxaca de Juárez,067,adolfo-lopez-mateos-067-68030
68030,Benito Juárez,Oaxaca de Juárez,067,benito-juarez-067-68030
68030,Cuauhtémoc,Oaxaca de Juárez,067,cuauhtemoc-067-68030
68030,Lindavista,Oaxaca de Juárez,067,lindavista-067-68030
68030,San Francisco,Oaxaca de Juárez,067,san-francisco-067-68030
68030,Centro de Convenciones,Oaxaca de Juárez,067,centro-de-convenciones-067-68030
68033,Guadalupe Victoria,Oaxaca de Juárez,067,guadalupe-victoria-067-68033
68033,Popular Victoria,Oaxaca de Juárez,067,popular-victoria-067-68033
68033,Vicente Suárez,Oaxaca de Juárez,067,vicente-suarez-067-68033
68033,Francisco I. Madero,Oaxaca de Juárez,067,francisco-i-madero-067-68033
68033,Del Periodista,Oaxaca de Juárez,067,del-periodista-067-68033
68033,Instituto Tecnologíco de Oaxaca,Oaxaca de Juárez,067,instituto-tecnologico-de-oaxaca-067-68033
68033,Los Pinos,Oaxaca de Juárez,067,los-pinos-067-68033
68033,Margaritas,Oaxaca de Juárez,067,margaritas-067-68033
68033,Unión,Oaxaca de Juárez,067,union-067-68033
68034,El Pasajuego,Oaxaca de Juárez,067,el-pasajuego-067-68034
68034,Niños Héroes,Oaxaca de Juárez,067,ninos-heroes-067-68034
68034,Santa María,Oaxaca de Juárez,067,santa-maria-067-68034
68034,Ex-Marquezado,Oaxaca de Juárez,067,ex-marquezado-067-68034
68034,Villa de Marquez,Oaxaca de Juárez,067,villa-de-marquez-067-68034
68039,Santa Rosa Panzacola,Oaxaca de Juárez,067,santa-rosa-panzacola-067-68039
68040,Díaz Ordaz,Oaxaca de Juárez,067,diaz-ordaz-067-68040
68040,La Cascada,Oaxaca de Juárez,067,la-cascada-067-68040
68040,La Loma,Oaxaca de Juárez,067,la-loma-067-68040
68040,Rincón del Acueducto,Oaxaca de Juárez,067,rincon-del-acueducto-067-68040
68040,Xochimilco,Oaxaca de Juárez,067,xochimilco-067-68040
68040,La Cascada,Oaxaca de Juárez,067,la-cascada-067-68040-91
68040,Lomas de la Cascada,Oaxaca de Juárez,067,lomas-de-la-cascada-067-68040
68043,Lomas de San Jacinto Sector Uno,Oaxaca de Juárez,067,lomas-de-san-jacinto-sector-uno-067-68043
68043,Guadalupe Victoria Sección Oeste 2 Sector,Oaxaca de Juárez,067,guadalupe-victoria-seccion-oeste-2-sector-067-68043
68043,Guadalupe Victoria Sección Oeste 1 Sector,Oaxaca de Juárez,067,guadalupe-victoria-seccion-oeste-1-sector-067-68043
68043,Lomas de Microondas,Oaxaca de Juárez,067,lomas-de-microondas-067-68043
68043,Santo Tomas,Oaxaca de Juárez,067,santo-tomas-067-68043
68043,Rincones de Xochimilco,Oaxaca de Juárez,067,rincones-de-xochimilco-067-68043
68043,Ojo de Agua,Oaxaca de Juárez,067,ojo-de-agua-067-68043
68044,Ricardo Flores Magón,Oaxaca de Juárez,067,ricardo-flores-magon-067-68044
68044,Olímpica,Oaxaca de Juárez,067,olimpica-067-68044
68044,Residencial del Río San Felipe,Oaxaca de Juárez,067,residencial-del-rio-san-felipe-067-68044
68044,CRENO,Oaxaca de Juárez,067,creno-067-68044
68044,Residencial San Felipe,Oaxaca de Juárez,067,residencial-san-felipe-067-68044
68044,Sabinos,Oaxaca de Juárez,067,sabinos-067-68044
68044,Colinas de la Soledad,Oaxaca de Juárez,067,colinas-de-la-soledad-067-68044
68044,El Retiro,Oaxaca de Juárez,067,el-retiro-067-68044
68044,Presa San Felipe,Oaxaca de Juárez,067,presa-san-felipe-067-68044
68044,La Paz San Felipe,Oaxaca de Juárez,067,la-paz-san-felipe-067-68044
68045,Estrella,Oaxaca de Juárez,067,estrella-067-68045
68045,Mártires del Río Blanco,Oaxaca de Juárez,067,martires-del-rio-blanco-067-68045
68045,Manuel Sabino Crespo,Oaxaca de Juárez,067,manuel-sabino-crespo-067-68045
68045,Aurora,Oaxaca de Juárez,067,aurora-067-68045
68045,La Loma Ampliación,Oaxaca de Juárez,067,la-loma-ampliacion-067-68045
68045,Aurora,Oaxaca de Juárez,067,aurora-067-68045-115
68045,Poza del Ángel,Oaxaca de Juárez,067,poza-del-angel-067-68045
68045,Sindicato Autonomo,Oaxaca de Juárez,067,sindicato-autonomo-067-68045
68045,El Encinal,Oaxaca de Juárez,067,el-encinal-067-68045
68045,El Centenario,Oaxaca de Juárez,067,el-centenario-067-68045
68045,Microondas,Oaxaca de Juárez,067,microondas-067-68045
